season,observations,events,event_rate,alerts,alert_rate,precision,recall,f1
MONSOON,2556,230,0.08998435054773082,842,0.32942097026604067,0.17458432304038005,0.6391304347826087,0.27425373134328357
POST_MONSOON,1260,11,0.00873015873015873,0,0.0,0.0,0.0,0.0
PRE_MONSOON,1944,76,0.03909465020576132,255,0.13117283950617284,0.09803921568627451,0.32894736842105265,0.1510574018126888
UNKNOWN,648,78,0.12037037037037036,223,0.3441358024691358,0.19282511210762332,0.5512820512820513,0.2857142857142857
WINTER,1260,29,0.023015873015873017,29,0.023015873015873017,0.06896551724137931,0.06896551724137931,0.06896551724137931
